Stat,Schema,08:33:48,08:43:49,08:53:49,09:03:49,09:13:49,09:23:49,09:33:49,09:43:49,09:53:49,10:03:50,10:13:50,10:23:50,10:33:50,10:43:50,10:53:50,11:03:50,11:13:50,11:23:50,11:33:50,11:43:50,11:53:50,12:03:51,12:13:51,12:23:51,12:33:51,12:43:51,12:53:04
intel_hsw,CLOCKS_UNHALTED_CORE,12892,0,1421,0,584499,196,0,756,3,1096,5,405580,0,0,1,0,504769,122623,24876,0,51,0,0,0,1934,0,1380682
intel_hsw,CLOCKS_UNHALTED_REF,268504,0,18582,0,0,0,0,0,0,464947,3565,570108,0,0,10602,0,628576,554,760,0,42,0,0,0,7009,0,1
intel_hsw_hau,READ_REQUESTS,268140,0,106,0,0,62,0,2,0,0,4708,0,0,0,102611,0,628548,0,0,0,0,1093857,0,1195070,18765,3632,24165
intel_hsw_hau,WRITE_REQUESTS,405580,0,0,0,53,0,309918,524288,0,6762,105947136,8134,0,0,396,0,12892,39,2,0,2,72,0,0,172058,4318,148423
intel_hsw_hau,CLOCKTICKS,96,0,1,0,0,0,0,8521936154,0,67926,902,81306,0,11096,0,0,267900,0,934968,0,504769,28782,0,17478,759,105603072,861
intel_hsw_hau,IMC_WRITES,16248,0,1531840,153838,3381,0,4288,0,0,317,5197,387,0,1932595,39,0,267532,0,0,0,628592,134854,0,166599,0,920,0
net,collisions,24876,0,1531536,0,0,0,45433,4146116746,0,0,4059,0,0,0,0,778735,405564,0,13597,0,628564,794,0,726,19,9686,1002
net,multicast,0,0,1522500,2167,0,0,221,504769,0,4,34168832,6,0,0,0,1,96,0,130725,0,12892,53,0,0,0,7247,0
net,rx_bytes,0,0,96,23856,0,0,0,625480,0,106104,5133,3,624089,11109,0,11205,16248,0,576,0,68349968384,48,0,25,0,60022784,0
net,rx_compressed,0,0,16240,130,0,0,69,625456,0,106104,0,0,0,478,0,109511,24876,0,0,0,59104956416,0,0,0,1249165,6154,0
net,rx_crc_errors,0,0,24876,0,0,0,339,361849,0,8651656122,1290,2,8878,2003832,0,427,760,0,40,0,9245011968,0,0,0,0,0,0
net,rx_dropped,0,0,3212,2,3217,0,110193,0,0,0,6030,504769,86568,0,0,0,0,0,0,987928,5301399552,0,30103,0,18231,1978,0
net,rx_errors,0,0,0,0,204774,0,759,5144,0,4180573733,334,3565,395,0,0,40,2,0,512323584,0,517201920,0,141486,0,171731,7061,0
net,rx_fifo_errors,0,0,0,0,0,0,0,52596,0,204,0,4708,0,53,0,0,829222,0,23887872,14327,16384,0,844,0,741,19,3671
net,rx_frame_errors,504769,49126,0,0,2881,0,46,244,0,96,5,105947136,6,0,0,0,1,0,171618304,137002,0,0,56,0,0,136844,4346
net,rx_length_errors,628576,0,0,0,32168,0,759,0,0,848,0,902,0,675068,0,1123,12077,0,11657216,599,731189248,0,49,0,25,136844,108564480
net,rx_missed_errors,628548,562,0,0,161,0,506,85,0,1828,0,5617,0,0,0,312318,118097,0,0,0,24440832,0,0,0,0,1300095,936
net,rx_over_errors,12892,10215,0,0,0,0,0,528,414262,64,0,4329,0,9581,0,0,476,0,0,41,1916522496,0,0,0,0,0,10101
net,rx_packets,268916,89,0,0,3,0,0,0,0,0,0,36569088,0,94843,0,1139,0,0,119762944,0,1040015,0,19085,0,0,18953,7415
net,tx_aborted_errors,268252,0,0,0,2812992,256802,46,2,5774,1,0,5169,0,433,0,1320,47,0,0,0,0,0,478,0,0,180024,62046208
net,tx_bytes,405564,0,0,0,0,0,46,504769,59514,504769,0,0,0,0,0,970,96,883299,0,0,15013,0,3395604,0,0,791,6238
net,tx_carrier_errors,0,0,99965,0,0,3733,0,1745504,263,628592,0,1320,0,7,0,316206,16248,1,2216,0,144198,0,0,0,0,0,0
net,tx_compressed,0,0,0,0,0,39246,414,0,0,628564,0,6065,623718,0,726976,2178,24876,12767,2216,0,619,0,0,51,0,26,2046
net,tx_dropped,0,0,1430,0,104019848,196,0,0,92,12892,0,0,3565,0,0,0,756,123304,2280,0,0,0,53,0,0,504769,7161
net,tx_errors,0,0,18475,0,0,0,0,1533848,0,465142,0,0,4708,0,10494,132,0,495,92,0,42,0,0,0,0,628592,0
net,tx_fifo_errors,0,0,119,0,0,3,759,1533544,0,0,0,0,105947136,0,101976,2178,2,0,96,0,271972,1092073,19085,0,0,628564,19696
net,tx_heartbeat_errors,0,0,0,0,0,0,309733,1522500,0,6716,0,0,902,0,474,1452,131072,48,15956,0,271644,0,0,0,0,12892,185363
net,tx_packets,0,0,1,0,0,0,0,96,0,67642,0,0,5997,0,0,0,3,0,934324,0,405564,15912,0,0,0,269640,810
net,tx_window_errors,1745508,143427958,0,153979,0,0,4333,16240,0,287,0,0,4522,0,7,0,0,0,1,0,96,151192,0,0,0,269276,0
proc,Uid,1745484,80997249852,0,0,0,0,45683,24876,0,0,0,0,38572032,674648,0,779477,2,0,13561,0,16248,657,0,0,0,405580,26
proc,VmPeak,0,102748544350,0,2180,0,0,223,3212,0,104,0,0,5216,0,0,0,504769,0,131456,0,24876,0,0,0,0,1304999,0
proc,VmSize,0,99311010115,0,23683,0,0,0,0,0,0,519227,0,0,9753,0,11097,17179144165,0,519,0,760,43,18825,0,0,72,0
proc,VmLck,0,84,268935908,145,0,0,4,2,0,2,6,0,1355,95128,0,108834,0,0,0,0,0,0,1144269,0,0,34064,0
proc,VmHWM,0,0,166461829266,0,0,0,0,361643,0,524288,7377,0,6111,403,0,506,4304200219,0,49,0,0,0,0,0,0,0,0
proc,VmRSS,0,0,288142129527,1,0,0,3045890,0,0,3,72854,0,0,3565,0,0,132104,0,267900,987195,0,0,16582,0,216,0,0
proc,VmData,0,0,270170305936,0,204871,625460,0,5198,0,0,302,0,0,4708,0,7,131904,0,267532,1,0,0,158283,0,3564,0,0
proc,VmStk,0,0,0,360264790,0,12892,0,52873,0,2,0,0,0,105947136,726576,0,830008,0,405564,14338,0,0,696,0,2376,0,0
proc,VmExe,3216,49116,1384,269425099083,3008,136092,0,252,0,504769,115,0,0,902,0,0,0,0,17311283428,137780,0,0,0,0,0,0,1353951
proc,VmLib,0,0,18577,524965674667,31914,136076,0,0,0,625480,0,570033,0,6432,10625,0,12035,0,0,540,0,0,45,0,0,0,72
proc,VmPTE,2,527,119,487130669967,181,342056,0,5,0,625456,0,6,0,4754,102279,0,117319,0,4338646432,0,0,0,15878720,1195165,216,0,35434
proc,VmSwap,504769,10269,0,0,486184830,108,0,108,414024,12892,0,8212,0,40939520,447,91453032,556,0,760,49,0,0,0,0,216,0,162911
proc,Threads,625500,82,0,0,342919501256,864,0,864,0,128676,0,81150,0,5255,0,8740380,0,0,0,0,1039213,0,0,17468,0,0,971
proc,Cpus_allowed_list,625476,0,0,153867,704927260791,256901,0,85716,5850,128476,0,343,0,0,7,0,8,0,2,0,1,0,0,166465,1944,0,65
proc,Mems_allowed_list,12892,0,1712,0,653343022442,0,0,536,59799,342056,0,0,0,1382,0,779082,504769,884084,504769,0,15038,0,104019848,718,0,0,56
